loan_amnt,loan_term_year,grade,int_rate,purpose,annual_inc,emp_length,verification_status,home_ownership,addr_state,dti,total_acc,total_pymnt,recoveries,collection_recovery_fee,loan_status,repaid,annual_return
2400,3,C,15.96,small_business,12252.0,10+ years,Not Verified,RENT,IL,8.72,10.0,3005.6668441393,0.0,0.0,Fully Paid,1,0.22484018143088003
10000,3,C,13.49,other,49200.0,10+ years,Source Verified,RENT,CA,20.0,37.0,12231.890000000902,0.0,0.0,Fully Paid,1,0.21419219979280557
3000,3,E,18.64,car,48000.0,9 years,Source Verified,RENT,CA,5.35,4.0,3939.135293905698,0.0,0.0,Fully Paid,1,0.2601818766442039
5600,5,F,21.28,small_business,40000.0,4 years,Source Verified,OWN,CA,5.55,13.0,647.5,190.54,2.09,Charged Off,0,-0.999999899917238
5375,5,B,12.69,other,15000.0,< 1 year,Verified,RENT,TX,18.08,3.0,1484.59,277.69,2.52,Charged Off,0,-0.9168976338506435
12000,3,B,12.69,debt_consolidation,75000.0,10+ years,Source Verified,OWN,CA,10.78,34.0,13947.9891551589,0.0,0.0,Fully Paid,1,0.1608021722322408
3000,3,B,9.91,credit_card,15000.0,3 years,Source Verified,RENT,IL,12.56,11.0,3480.2699994228,0.0,0.0,Fully Paid,1,0.14852188140954792
10000,3,B,10.65,other,100000.0,3 years,Source Verified,RENT,CA,7.06,29.0,7471.99,645.1,6.3145,Charged Off,0,-0.2617185335329467
10000,3,C,15.27,home_improvement,42000.0,4 years,Not Verified,RENT,CA,18.6,28.0,12527.1500000008,0.0,0.0,Fully Paid,1,0.21589623485892862
9200,3,A,6.03,debt_consolidation,77385.0,6 years,Not Verified,RENT,CA,9.86,28.0,9460.0008480671,0.0,0.0,Fully Paid,1,0.05700548280252882
20250,5,C,15.27,debt_consolidation,43370.0,3 years,Verified,RENT,TX,26.53,22.0,27679.04999702957,0.0,0.0,Fully Paid,1,0.2250142433486817
21000,3,B,12.42,debt_consolidation,105000.0,10+ years,Verified,RENT,FL,13.22,38.0,14034.6,9.2,0.0,Charged Off,0,-0.37622876473283984
10000,3,B,11.71,credit_card,50000.0,10+ years,Source Verified,OWN,TX,11.18,21.0,11907.3500000015,0.0,0.0,Fully Paid,1,0.19175170412137366
10000,3,B,11.71,debt_consolidation,50000.0,5 years,Not Verified,RENT,CA,16.01,17.0,11540.8919774065,0.0,0.0,Fully Paid,1,0.1485773289550325
6000,3,B,11.71,major_purchase,76000.0,1 year,Not Verified,RENT,CA,2.4,7.0,2055.85,275.02,2.57,Charged Off,0,-0.9168368401400442
15000,3,B,9.91,credit_card,92000.0,2 years,Verified,MORTGAGE,IL,29.44,31.0,15823.9990494149,0.0,0.0,Fully Paid,1,0.07856118237465082
15000,3,C,14.27,debt_consolidation,60000.0,9 years,Not Verified,RENT,NY,15.22,11.0,0.0,0.0,0.0,Charged Off,0,-1.0
4000,3,B,11.71,debt_consolidation,106000.0,10+ years,Not Verified,MORTGAGE,FL,5.63,44.0,4486.293519007,0.0,0.0,Fully Paid,1,0.12519044843536586
4375,3,A,7.51,debt_consolidation,17108.0,7 years,Source Verified,MORTGAGE,NY,20.34,12.0,4899.9599995808,0.0,0.0,Fully Paid,1,0.14038581749599977
